Make Higgs Shape
creating jet systematics Higgs
ggH125_CMS_scale_j_Closure_13TeVUp: 2.43557e+07, entries: 679
ggH125_CMS_scale_j_Closure_13TeVDown: 2.50731e+07, entries: 699
qqH125_CMS_scale_j_Closure_13TeVUp: 6.24855e+07, entries: 1752
qqH125_CMS_scale_j_Closure_13TeVDown: 7.11302e+07, entries: 1994
ZH125_CMS_scale_j_Closure_13TeVUp: 2.9521e+07, entries: 829
ZH125_CMS_scale_j_Closure_13TeVDown: 2.92699e+07, entries: 822
ttH125_CMS_scale_j_Closure_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_Closure_13TeVDown: 2.24905e+07, entries: 653
ggH125_CMS_scale_j_AbsoluteFlavMap_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_AbsoluteFlavMap_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_AbsoluteFlavMap_13TeVUp: 6.64312e+07, entries: 1862
qqH125_CMS_scale_j_AbsoluteFlavMap_13TeVDown: 6.64312e+07, entries: 1862
ZH125_CMS_scale_j_AbsoluteFlavMap_13TeVUp: 2.93775e+07, entries: 825
ZH125_CMS_scale_j_AbsoluteFlavMap_13TeVDown: 2.93775e+07, entries: 825
ttH125_CMS_scale_j_AbsoluteFlavMap_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_AbsoluteFlavMap_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_AbsoluteMPFBias_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_AbsoluteMPFBias_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_AbsoluteMPFBias_13TeVUp: 6.62519e+07, entries: 1857
qqH125_CMS_scale_j_AbsoluteMPFBias_13TeVDown: 6.66465e+07, entries: 1868
ZH125_CMS_scale_j_AbsoluteMPFBias_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_AbsoluteMPFBias_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_AbsoluteMPFBias_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_AbsoluteMPFBias_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_AbsoluteScale_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_AbsoluteScale_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_AbsoluteScale_13TeVUp: 6.62878e+07, entries: 1858
qqH125_CMS_scale_j_AbsoluteScale_13TeVDown: 6.65388e+07, entries: 1865
ZH125_CMS_scale_j_AbsoluteScale_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_AbsoluteScale_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_AbsoluteScale_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_AbsoluteScale_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_AbsoluteStat_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_AbsoluteStat_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_AbsoluteStat_13TeVUp: 6.63236e+07, entries: 1859
qqH125_CMS_scale_j_AbsoluteStat_13TeVDown: 6.65388e+07, entries: 1865
ZH125_CMS_scale_j_AbsoluteStat_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_AbsoluteStat_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_AbsoluteStat_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_AbsoluteStat_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_FlavorQCD_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_FlavorQCD_13TeVDown: 2.47144e+07, entries: 689
qqH125_CMS_scale_j_FlavorQCD_13TeVUp: 6.54269e+07, entries: 1834
qqH125_CMS_scale_j_FlavorQCD_13TeVDown: 6.75073e+07, entries: 1892
ZH125_CMS_scale_j_FlavorQCD_13TeVUp: 2.94851e+07, entries: 828
ZH125_CMS_scale_j_FlavorQCD_13TeVDown: 2.94493e+07, entries: 827
ttH125_CMS_scale_j_FlavorQCD_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_FlavorQCD_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_Fragmentation_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_Fragmentation_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_Fragmentation_13TeVUp: 6.62519e+07, entries: 1857
qqH125_CMS_scale_j_Fragmentation_13TeVDown: 6.66465e+07, entries: 1868
ZH125_CMS_scale_j_Fragmentation_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_Fragmentation_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_Fragmentation_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_Fragmentation_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_PileUpDataMC_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_PileUpDataMC_13TeVDown: 2.47144e+07, entries: 689
qqH125_CMS_scale_j_PileUpDataMC_13TeVUp: 6.58214e+07, entries: 1845
qqH125_CMS_scale_j_PileUpDataMC_13TeVDown: 6.70769e+07, entries: 1880
ZH125_CMS_scale_j_PileUpDataMC_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_PileUpDataMC_13TeVDown: 2.93775e+07, entries: 825
ttH125_CMS_scale_j_PileUpDataMC_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_PileUpDataMC_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_PileUpPtBB_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_PileUpPtBB_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_PileUpPtBB_13TeVUp: 6.63954e+07, entries: 1861
qqH125_CMS_scale_j_PileUpPtBB_13TeVDown: 6.64312e+07, entries: 1862
ZH125_CMS_scale_j_PileUpPtBB_13TeVUp: 2.93775e+07, entries: 825
ZH125_CMS_scale_j_PileUpPtBB_13TeVDown: 2.93775e+07, entries: 825
ttH125_CMS_scale_j_PileUpPtBB_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_PileUpPtBB_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_PileUpPtEC1_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_PileUpPtEC1_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_PileUpPtEC1_13TeVUp: 6.6216e+07, entries: 1856
qqH125_CMS_scale_j_PileUpPtEC1_13TeVDown: 6.65388e+07, entries: 1865
ZH125_CMS_scale_j_PileUpPtEC1_13TeVUp: 2.93775e+07, entries: 825
ZH125_CMS_scale_j_PileUpPtEC1_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_PileUpPtEC1_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_PileUpPtEC1_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_PileUpPtEC2_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_PileUpPtEC2_13TeVDown: 2.47503e+07, entries: 690
qqH125_CMS_scale_j_PileUpPtEC2_13TeVUp: 6.61443e+07, entries: 1854
qqH125_CMS_scale_j_PileUpPtEC2_13TeVDown: 6.66465e+07, entries: 1868
ZH125_CMS_scale_j_PileUpPtEC2_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_PileUpPtEC2_13TeVDown: 2.93417e+07, entries: 824
ttH125_CMS_scale_j_PileUpPtEC2_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_PileUpPtEC2_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_PileUpPtHF_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_PileUpPtHF_13TeVDown: 2.46786e+07, entries: 688
qqH125_CMS_scale_j_PileUpPtHF_13TeVUp: 6.60367e+07, entries: 1851
qqH125_CMS_scale_j_PileUpPtHF_13TeVDown: 6.69693e+07, entries: 1877
ZH125_CMS_scale_j_PileUpPtHF_13TeVUp: 2.93775e+07, entries: 825
ZH125_CMS_scale_j_PileUpPtHF_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_PileUpPtHF_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_PileUpPtHF_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_PileUpPtRef_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_PileUpPtRef_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_PileUpPtRef_13TeVUp: 6.62519e+07, entries: 1857
qqH125_CMS_scale_j_PileUpPtRef_13TeVDown: 6.67899e+07, entries: 1872
ZH125_CMS_scale_j_PileUpPtRef_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_PileUpPtRef_13TeVDown: 2.94134e+07, entries: 826
ttH125_CMS_scale_j_PileUpPtRef_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_PileUpPtRef_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_RelativeBal_13TeVUp: 2.48938e+07, entries: 694
ggH125_CMS_scale_j_RelativeBal_13TeVDown: 2.44992e+07, entries: 683
qqH125_CMS_scale_j_RelativeBal_13TeVUp: 6.84758e+07, entries: 1919
qqH125_CMS_scale_j_RelativeBal_13TeVDown: 6.4566e+07, entries: 1810
ZH125_CMS_scale_j_RelativeBal_13TeVUp: 2.94134e+07, entries: 826
ZH125_CMS_scale_j_RelativeBal_13TeVDown: 2.94493e+07, entries: 827
ttH125_CMS_scale_j_RelativeBal_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_RelativeBal_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_RelativeFSR_13TeVUp: 2.47144e+07, entries: 689
ggH125_CMS_scale_j_RelativeFSR_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_RelativeFSR_13TeVUp: 6.69693e+07, entries: 1877
qqH125_CMS_scale_j_RelativeFSR_13TeVDown: 6.61084e+07, entries: 1853
ZH125_CMS_scale_j_RelativeFSR_13TeVUp: 2.94493e+07, entries: 827
ZH125_CMS_scale_j_RelativeFSR_13TeVDown: 2.93775e+07, entries: 825
ttH125_CMS_scale_j_RelativeFSR_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_RelativeFSR_13TeVDown: 2.24546e+07, entries: 652
ggH125_CMS_scale_j_RelativeJEREC1_13TeVUp: 2.46427e+07, entries: 687
ggH125_CMS_scale_j_RelativeJEREC1_13TeVDown: 2.46427e+07, entries: 687
qqH125_CMS_scale_j_RelativeJEREC1_13TeVUp: 6.64312e+07, entries: 1862
qqH125_CMS_scale_j_RelativeJEREC1_13TeVDown: 6.64312e+07, entries: 1862
ZH125_CMS_scale_j_RelativeJEREC1_13TeVUp: 2.93775e+07, entries: 825
ZH125_CMS_scale_j_RelativeJEREC1_13TeVDown: 2.93775e+07, entries: 825
ttH125_CMS_scale_j_RelativeJEREC1_13TeVUp: 2.24546e+07, entries: 652
ttH125_CMS_scale_j_RelativeJEREC1_13TeVDown: 2.24546e+07, entries: 652
